Joint,Motion Type,Position,Velocity,Tolerance,Delay (ms)
Shoulder,Auto,2224,45,5,0,
Hand,Auto,2409,90,10,0,
Elbow,Auto,1833,45,10,0,
Hand,Auto,2148,90,10,0,
Elbow,Auto,2005,45,5,0,
Shoulder,Auto,2375,45,5,0,
Wrist Flex,Auto,1795,45,10,0,
Hand,Auto,2378,90,10,0,
Elbow,Auto,2175,45,10,0,
Shoulder,Auto,2075,45,5,0,
Wrist Flex,Auto,2116,45,10,0,
Elbow,Auto,1801,45,10,0,
Hand,Auto,2147,90,10,0,
Elbow,Auto,2051,45,10,0,
Shoulder,Auto,2375,45,5,0,
Elbow,Auto,2103,45,10,0,
Wrist Flex,Auto,1689,45,10,0,
Hand,Auto,2451,90,5,0,
Elbow,Auto,2236,45,10,0,
Shoulder,Auto,1911,45,5,0,
Wrist Flex,Auto,2102,45,10,0,
Elbow,Auto,1804,45,10,0,
Hand,Auto,2146,90,10,0,
Elbow,Auto,2186,45,10,0,
Shoulder,Auto,2371,45,5,0,
Wrist Flex,Auto,1650,45,10,0,
Hand,Auto,2450,90,10,0,
Elbow,Auto,2362,45,10,0,
Shoulder,Auto,1763,45,5,0,
Wrist Flex,Auto,2055,45,10,0,
Elbow,Auto,1830,45,10,0,
Hand,Auto,2145,90,10,0,
Elbow,Auto,2235,45,10,0,
Shoulder,Auto,2373,45,5,0,
Wrist Flex,Auto,1620,45,10,0,
Hand,Auto,2401,90,10,0,
Elbow,Auto,2416,45,10,0,
